time	V(out)	V(n001)	V(n002)
1.040492846837039e-005	5.058580e+000	6.076766e+000	1.999867e+000
1.050349989694182e-005	5.164850e+000	6.125841e+000	1.999867e+000
1.061635703979896e-005	5.279914e+000	6.181742e+000	1.999867e+000
1.072921418265610e-005	5.389553e+000	6.237324e+000	1.999867e+000
1.084207132551325e-005	5.493768e+000	6.292589e+000	1.999867e+000
1.095492846837039e-005	5.592559e+000	6.347536e+000	1.999867e+000
1.106778561122753e-005	5.685925e+000	6.402165e+000	1.999867e+000
1.118064275408467e-005	5.773868e+000	6.456476e+000	1.999867e+000
1.129349989694181e-005	5.856386e+000	6.510470e+000	1.999867e+000
1.143635703979896e-005	5.956406e+000	6.578351e+000	1.999867e+000
1.157921418265610e-005	6.052842e+000	6.645689e+000	1.999867e+000
1.172207132551324e-005	6.145694e+000	6.712484e+000	1.999867e+000
1.186492846837038e-005	6.234961e+000	6.778734e+000	1.999867e+000
1.200778561122752e-005	6.320644e+000	6.844442e+000	1.999867e+000
1.215064275408466e-005	6.402743e+000	6.909606e+000	1.999867e+000
1.229349989694180e-005	6.481257e+000	6.974226e+000	1.999867e+000
1.250207132551323e-005	6.592500e+000	7.067581e+000	1.999867e+000
1.271064275408466e-005	6.700830e+000	7.159683e+000	1.999867e+000
1.291921418265608e-005	6.806249e+000	7.250533e+000	1.999867e+000
1.312778561122751e-005	6.908756e+000	7.340130e+000	1.999867e+000
1.333635703979894e-005	7.008351e+000	7.428474e+000	1.999867e+000
1.354492846837036e-005	7.105035e+000	7.515566e+000	1.999867e+000
1.375349989694179e-005	7.198807e+000	7.601405e+000	1.999867e+000
1.416728576880725e-005	7.380170e+000	7.768005e+000	1.999867e+000
1.458107164067271e-005	7.555536e+000	7.929093e+000	1.999867e+000
1.499485751253816e-005	7.724907e+000	8.084670e+000	1.999867e+000
1.540864338440362e-005	7.888282e+000	8.234736e+000	1.999867e+000
1.582242925626908e-005	8.045662e+000	8.379290e+000	1.999867e+000
1.623621512813454e-005	8.197045e+000	8.518332e+000	1.999867e+000
1.665000100000000e-005	8.342432e+000	8.651863e+000	1.999867e+000
1.666000100000000e-005	8.345884e+000	8.655012e+000	1.999867e+000
1.666000110000000e-005	8.345884e+000	8.655012e+000	1.999864e+000
1.666000130000000e-005	8.345884e+000	8.655012e+000	1.999853e+000
1.666000170000000e-005	8.345884e+000	8.655012e+000	1.999811e+000
1.666000200000000e-005	8.345884e+000	8.655012e+000	1.999766e+000
1.666000208000000e-005	8.345884e+000	8.655012e+000	1.999750e+000
1.666000224000000e-005	8.345885e+000	8.655012e+000	1.999718e+000
1.666075117714240e-005	8.346143e+000	8.655248e+000	1.859031e+000
1.666150011428480e-005	8.346401e+000	8.655484e+000	1.727604e+000
1.666224905142720e-005	8.346659e+000	8.655719e+000	1.605437e+000
1.666299798856961e-005	8.346918e+000	8.655955e+000	1.492530e+000
1.666374692571201e-005	8.347176e+000	8.656191e+000	1.388883e+000
1.666449586285441e-005	8.347434e+000	8.656426e+000	1.294495e+000
1.666524479999681e-005	8.347692e+000	8.656662e+000	1.209368e+000
1.666891349074871e-005	8.348956e+000	8.657816e+000	8.446215e-001
1.667271363545515e-005	8.350264e+000	8.659011e+000	5.770984e-001
1.667680686973871e-005	8.351669e+000	8.660296e+000	3.812184e-001
1.668053714945114e-005	8.352950e+000	8.661469e+000	2.605893e-001
1.668443312559501e-005	8.354285e+000	8.662691e+000	1.757322e-001
1.668817048764239e-005	8.355566e+000	8.663864e+000	1.203216e-001
1.669206797859417e-005	8.356900e+000	8.665087e+000	8.114684e-002
1.669584316968134e-005	8.358192e+000	8.666271e+000	5.534017e-002
1.669971942485763e-005	8.359518e+000	8.667486e+000	3.738844e-002
1.670350643968885e-005	8.360813e+000	8.668673e+000	2.547123e-002
1.670736772084491e-005	8.362133e+000	8.669882e+000	1.723371e-002
1.671116684909576e-005	8.363431e+000	8.671071e+000	1.172761e-002
1.671501875442912e-005	8.364747e+000	8.672276e+000	7.941676e-003
1.671882607586285e-005	8.366047e+000	8.673467e+000	5.400210e-003
1.672267087038078e-005	8.367360e+000	8.674669e+000	3.659318e-003
1.672648399020831e-005	8.368661e+000	8.675860e+000	2.486944e-003
1.673032382566062e-005	8.369971e+000	8.677060e+000	1.685993e-003
1.673414112097170e-005	8.371273e+000	8.678252e+000	1.145390e-003
1.673797742346016e-005	8.372581e+000	8.679450e+000	7.767575e-004
1.674179768100636e-005	8.373883e+000	8.680641e+000	5.275503e-004
1.674563146867222e-005	8.375190e+000	8.681837e+000	3.578469e-004
1.674945383834998e-005	8.376492e+000	8.683028e+000	2.429913e-004
1.675328583859499e-005	8.377796e+000	8.684222e+000	1.648527e-004
1.676094044059149e-005	8.380402e+000	8.686606e+000	7.594263e-005
1.677426470250741e-005	8.384933e+000	8.690751e+000	2.031005e-005
1.678025526327270e-005	8.386968e+000	8.692612e+000	1.127539e-005
1.678714671240225e-005	8.389307e+000	8.694751e+000	5.274483e-006
1.678996140881051e-005	8.390262e+000	8.695624e+000	3.780464e-006
1.679172520656557e-005	8.390859e+000	8.696166e+000	3.140795e-006
1.679274182132492e-005	8.391187e+000	8.696257e+000	2.826217e-006
1.679307898764003e-005	8.391268e+000	8.696000e+000	2.730531e-006
1.679327501927605e-005	8.391290e+000	8.695776e+000	2.677199e-006
1.679336944475424e-005	8.391293e+000	8.695748e+000	2.651969e-006
1.679345809201003e-005	8.391293e+000	8.695779e+000	2.628564e-006
1.679355579201314e-005	8.391292e+000	8.695816e+000	2.603073e-006
1.679375119201938e-005	8.391292e+000	8.695892e+000	2.553059e-006
1.679414199203185e-005	8.391292e+000	8.696048e+000	2.456425e-006
1.679486083524141e-005	8.391291e+000	8.696329e+000	2.290094e-006
1.679917389449882e-005	8.391285e+000	8.697930e+000	1.536217e-006
1.680492464017537e-005	8.391277e+000	8.699925e+000	9.295429e-007
1.681492464017537e-005	8.391265e+000	8.703220e+000	3.641208e-007
1.683492464017538e-005	8.391242e+000	8.709517e+000	4.045068e-008
1.686635321160395e-005	8.391208e+000	8.719209e+000	2.252397e-008
1.689778178303253e-005	8.391177e+000	8.728866e+000	8.646614e-009
1.692921035446110e-005	8.391148e+000	8.738488e+000	-1.181400e-009
1.696063892588968e-005	8.391121e+000	8.748074e+000	-6.960069e-009
1.699206749731826e-005	8.391097e+000	8.757624e+000	-8.689392e-009
1.702349606874683e-005	8.391075e+000	8.767139e+000	-6.369369e-009
1.705492464017541e-005	8.391056e+000	8.776618e+000	1.286497e-018
1.708921035446113e-005	8.391037e+000	8.786923e+000	7.152087e-019
1.712349606874685e-005	8.391019e+000	8.797187e+000	2.730877e-019
1.715778178303257e-005	8.391003e+000	8.807410e+000	-3.986545e-020
1.719206749731829e-005	8.390988e+000	8.817592e+000	-2.236508e-019
1.722635321160401e-005	8.390974e+000	8.827733e+000	-2.782683e-019
1.726063892588973e-005	8.390963e+000	8.837833e+000	-2.037181e-019
1.729492464017545e-005	8.390952e+000	8.847892e+000	4.545402e-030
1.733206749731831e-005	8.390942e+000	8.858743e+000	2.523762e-030
1.736921035446117e-005	8.390932e+000	8.869545e+000	9.595541e-031
1.740635321160404e-005	8.390923e+000	8.880299e+000	-1.472214e-031
1.744349606874690e-005	8.390915e+000	8.891005e+000	-7.965645e-031
1.748063892588976e-005	8.390907e+000	8.901663e+000	-9.884753e-031
1.751778178303263e-005	8.390901e+000	8.912272e+000	-7.229538e-031
1.755492464017549e-005	8.390895e+000	8.922832e+000	1.783853e-042
1.759921035446121e-005	8.390889e+000	8.935361e+000	9.885160e-043
1.764349606874693e-005	8.390883e+000	8.947820e+000	3.733459e-043
1.768778178303265e-005	8.390878e+000	8.960210e+000	-6.165713e-044
1.773206749731838e-005	8.390873e+000	8.972530e+000	-3.164933e-043
1.777635321160410e-005	8.390869e+000	8.984780e+000	-3.911625e-043
1.782063892588982e-005	8.390865e+000	8.996961e+000	-2.856647e-043
1.786492464017554e-005	8.390862e+000	9.009072e+000	0.000000e+000
1.792349606874698e-005	8.390857e+000	9.024984e+000	0.000000e+000
1.798206749731842e-005	8.390854e+000	9.040774e+000	0.000000e+000
1.804063892588985e-005	8.390850e+000	9.056440e+000	0.000000e+000
1.809921035446129e-005	8.390846e+000	9.071984e+000	0.000000e+000
1.815778178303273e-005	8.390843e+000	9.087404e+000	0.000000e+000
1.821635321160417e-005	8.390840e+000	9.102702e+000	0.000000e+000
1.827492464017561e-005	8.390838e+000	9.117877e+000	0.000000e+000
1.837778178303276e-005	8.390833e+000	9.144229e+000	0.000000e+000
1.848063892588992e-005	8.390829e+000	9.170197e+000	0.000000e+000
1.858349606874708e-005	8.390825e+000	9.195779e+000	0.000000e+000
1.868635321160424e-005	8.390821e+000	9.220977e+000	0.000000e+000
1.878921035446140e-005	8.390818e+000	9.245791e+000	0.000000e+000
1.889206749731856e-005	8.390814e+000	9.270220e+000	0.000000e+000
