time	V(out)	V(n001)	V(n002)
1.666452145989812e-005	8.560181e+000	8.656435e+000	1.766512e-002
1.666833446494262e-005	8.561401e+000	8.657634e+000	1.200569e-002
1.667217439776969e-005	8.562630e+000	8.658841e+000	8.139033e-003
1.667599161179297e-005	8.563851e+000	8.660041e+000	5.529346e-003
1.667982798341019e-005	8.565079e+000	8.661245e+000	3.749756e-003
1.668364818289216e-005	8.566300e+000	8.662445e+000	2.546735e-003
1.668748201969463e-005	8.567527e+000	8.663649e+000	1.727489e-003
1.669130434804762e-005	8.568749e+000	8.664847e+000	1.173033e-003
1.669513638326305e-005	8.569975e+000	8.666049e+000	7.958190e-004
1.669896022754095e-005	8.571198e+000	8.667248e+000	5.403166e-004
1.670279098070904e-005	8.572423e+000	8.668448e+000	3.666097e-004
1.670661590424465e-005	8.573647e+000	8.669646e+000	2.488826e-004
1.671044574527526e-005	8.574871e+000	8.670845e+000	1.688834e-004
1.671810062919078e-005	8.577318e+000	8.673240e+000	7.779740e-005
1.673134211949107e-005	8.581550e+000	8.677378e+000	2.096336e-005
1.675249361415801e-005	8.588304e+000	8.683975e+000	2.644738e-006
1.676283863954877e-005	8.591605e+000	8.687197e+000	8.036612e-007
1.676717176565103e-005	8.592987e+000	8.688545e+000	4.487964e-007
1.676987157979882e-005	8.593845e+000	8.689383e+000	3.348725e-007
1.677142838015091e-005	8.594313e+000	8.689781e+000	2.839345e-007
1.677196619541169e-005	8.594426e+000	8.689819e+000	2.685648e-007
1.677222663888775e-005	8.594446e+000	8.689830e+000	2.615924e-007
1.677237626083368e-005	8.594446e+000	8.689869e+000	2.576920e-007
1.677247980561273e-005	8.594446e+000	8.689907e+000	2.550353e-007
1.677260023601977e-005	8.594445e+000	8.689948e+000	2.519919e-007
1.677283470194632e-005	8.594444e+000	8.690027e+000	2.462013e-007
1.677330363379941e-005	8.594443e+000	8.690186e+000	2.351086e-007
1.677424149750558e-005	8.594440e+000	8.690498e+000	2.147172e-007
1.678737158939204e-005	8.594390e+000	8.694735e+000	6.923428e-008
1.683238904728845e-005	8.594237e+000	8.708731e+000	1.962752e-009
1.689241232448368e-005	8.594068e+000	8.727161e+000	-2.245482e-010
1.701245887887412e-005	8.593798e+000	8.763669e+000	1.978332e-011
1.713817352474364e-005	8.593594e+000	8.801382e+000	-2.638879e-011
1.730928935273180e-005	8.593410e+000	8.851829e+000	5.778946e-012
1.748722155491628e-005	8.593288e+000	8.903172e+000	-1.029260e-011
1.772737273604984e-005	8.593191e+000	8.970658e+000	3.270121e-012
1.799511732925456e-005	8.593126e+000	9.043384e+000	-4.805838e-012
1.836753294802924e-005	8.593070e+000	9.140059e+000	2.195943e-012
1.883115079543168e-005	8.593017e+000	9.252638e+000	-2.742800e-012
1.957634390982645e-005	8.592945e+000	9.419909e+000	-2.742258e-012
2.000000000000000e-005	8.592908e+000	9.508614e+000	1.331164e-010
2.070000000000000e-005	8.592852e+000	9.632502e+000	-2.414661e-013
2.250000000000000e-005	8.592718e+000	9.866150e+000	-3.275592e-015
2.450000000000000e-005	8.592576e+000	9.985003e+000	-3.023731e-015
2.650000000000000e-005	8.592429e+000	9.946386e+000	-2.791278e-015
2.850000000000001e-005	8.592265e+000	9.750910e+000	-2.576498e-015
3.050000000000001e-005	8.592078e+000	9.401655e+000	-2.378523e-015
3.090000031428575e-005	8.592038e+000	9.316195e+000	-2.572890e-006
3.130000062857150e-005	8.591996e+000	9.224564e+000	-3.980933e-006
3.170000094285724e-005	8.591953e+000	9.126761e+000	-4.224129e-006
3.210000125714298e-005	8.591909e+000	9.022788e+000	-3.302477e-006
3.250000157142873e-005	8.591864e+000	8.912644e+000	-1.215978e-006
3.290000188571447e-005	8.591817e+000	8.796329e+000	2.035368e-006
3.330000220000022e-005	8.591769e+000	8.673843e+000	6.451561e-006
3.330001073427048e-005	8.591769e+000	8.673841e+000	6.447377e-005
