time	V(out)	V(n001)	V(n002)
1.677399267126832e-005	8.680579e+000	8.690637e+000	2.186907e-007
1.677450313848653e-005	8.680560e+000	8.690797e+000	2.077118e-007
1.677511930651154e-005	8.680537e+000	8.690989e+000	1.953206e-007
1.677571143269216e-005	8.680515e+000	8.691174e+000	1.841004e-007
1.677638000080264e-005	8.680490e+000	8.691382e+000	1.723025e-007
1.677737865985986e-005	8.680452e+000	8.691694e+000	1.561730e-007
1.677872587398303e-005	8.680402e+000	8.692115e+000	1.370337e-007
1.678105587440880e-005	8.680316e+000	8.692841e+000	1.099613e-007
1.678499962614525e-005	8.680172e+000	8.694067e+000	7.673921e-008
1.680485441656927e-005	8.679473e+000	8.700228e+000	1.494221e-008
1.682837120523616e-005	8.678704e+000	8.707498e+000	2.169257e-009
1.687135315132232e-005	8.677454e+000	8.720723e+000	-1.149416e-010
1.695731704349464e-005	8.675388e+000	8.746964e+000	1.779456e-011
1.708662176757464e-005	8.673032e+000	8.785980e+000	-4.249838e-012
1.723440346774296e-005	8.671169e+000	8.829876e+000	3.151796e-012
1.741439412539539e-005	8.669718e+000	8.882296e+000	-1.596408e-012
1.762135293100911e-005	8.668702e+000	8.941123e+000	1.428468e-012
1.788204318642890e-005	8.667946e+000	9.013000e+000	-8.256353e-013
1.819969836194984e-005	8.667379e+000	9.097145e+000	7.487879e-013
1.862710004827157e-005	8.666852e+000	9.204196e+000	-5.231646e-013
1.922166801684577e-005	8.666263e+000	9.341617e+000	2.906568e-013
2.000000000000000e-005	8.665567e+000	9.508614e+000	3.107828e-011
2.009818852684109e-005	8.665487e+000	9.527347e+000	1.140540e-011
2.029456558052328e-005	8.665330e+000	9.563557e+000	1.391748e-013
2.147282790261638e-005	8.664438e+000	9.746471e+000	1.206916e-014
2.347282790261638e-005	8.663029e+000	9.943570e+000	7.421906e-016
2.547282790261638e-005	8.661633e+000	9.985909e+000	6.851887e-016
2.747282790261638e-005	8.660124e+000	9.870763e+000	6.324964e-016
2.947282790261638e-005	8.658415e+000	9.599950e+000	5.838700e-016
3.147282790261638e-005	8.656449e+000	9.179295e+000	-4.958868e-015
3.330000220000022e-005	8.654413e+000	8.673843e+000	6.451561e-006
3.330001073427048e-005	8.654413e+000	8.673841e+000	6.447377e-005
3.330001506023878e-005	8.654413e+000	8.673840e+000	1.251034e-004
3.330002371217537e-005	8.654413e+000	8.673837e+000	3.206413e-004
3.330004101604855e-005	8.654413e+000	8.673831e+000	9.913391e-004
3.330007562379492e-005	8.654413e+000	8.673820e+000	3.447606e-003
3.330014483928766e-005	8.654413e+000	8.673799e+000	1.279088e-002
3.330028327027313e-005	8.654412e+000	8.673756e+000	4.897342e-002
3.330056013224408e-005	8.654412e+000	8.673669e+000	1.823595e-001
3.330100000000000e-005	8.654412e+000	8.673532e+000	4.829181e-001
