time	V(out)	V(n001)	V(n002)
1.774915142855647e-007	3.473224e-002	9.943771e+000	2.077572e-002
1.784629428569934e-007	3.474604e-002	9.948234e+000	1.882192e-002
1.794343714284220e-007	3.475744e-002	9.951930e+000	1.707645e-002
1.804057999998507e-007	3.476644e-002	9.954857e+000	1.553932e-002
1.814343714284222e-007	3.477333e-002	9.957117e+000	1.405150e-002
1.824629428569937e-007	3.477752e-002	9.958515e+000	1.267982e-002
1.834915142855652e-007	3.477901e-002	9.959050e+000	1.142426e-002
1.845200857141367e-007	3.477781e-002	9.958722e+000	1.028484e-002
1.855486571427082e-007	3.477390e-002	9.957533e+000	9.261559e-003
1.865772285712797e-007	3.476729e-002	9.955481e+000	8.354409e-003
1.876057999998512e-007	3.475799e-002	9.952566e+000	7.563393e-003
1.887343714284227e-007	3.474466e-002	9.948375e+000	6.775626e-003
1.898629428569942e-007	3.472810e-002	9.943149e+000	6.053734e-003
1.909915142855657e-007	3.470830e-002	9.936886e+000	5.397717e-003
1.921200857141373e-007	3.468526e-002	9.929588e+000	4.807576e-003
1.932486571427088e-007	3.465897e-002	9.921255e+000	4.283310e-003
1.943772285712803e-007	3.462945e-002	9.911886e+000	3.824919e-003
1.955057999998518e-007	3.459668e-002	9.901481e+000	3.432403e-003
1.959772285712804e-007	3.458204e-002	9.896830e+000	3.275114e-003
1.964486571427090e-007	3.456684e-002	9.891999e+000	3.124309e-003
1.969200857141376e-007	3.455107e-002	9.886988e+000	2.979991e-003
1.973915142855662e-007	3.453474e-002	9.881797e+000	2.842158e-003
1.978629428569948e-007	3.451785e-002	9.876426e+000	2.710812e-003
1.983343714284234e-007	3.450040e-002	9.870875e+000	2.585950e-003
1.988057999998520e-007	3.448238e-002	9.865145e+000	2.467575e-003
1.989057999998520e-007	3.447849e-002	9.863906e+000	2.443020e-003
2.003772285712807e-007	3.441824e-002	9.844738e+000	2.121364e-003
2.018486571427094e-007	3.435257e-002	9.823836e+000	1.832121e-003
2.033200857141381e-007	3.428147e-002	9.801199e+000	1.575291e-003
2.047915142855668e-007	3.420495e-002	9.776827e+000	1.350875e-003
2.062629428569955e-007	3.412300e-002	9.750720e+000	1.158872e-003
2.077343714284242e-007	3.403562e-002	9.722878e+000	9.992834e-004
2.092057999998528e-007	3.394281e-002	9.693302e+000	8.721079e-004
2.112915142855673e-007	3.380196e-002	9.648405e+000	7.187612e-004
2.133772285712817e-007	3.365051e-002	9.600118e+000	5.846445e-004
2.154629428569962e-007	3.348846e-002	9.548442e+000	4.697580e-004
2.175486571427106e-007	3.331580e-002	9.493376e+000	3.741016e-004
2.196343714284251e-007	3.313254e-002	9.434921e+000	2.976752e-004
2.217200857141395e-007	3.293868e-002	9.373077e+000	2.404790e-004
2.238057999998539e-007	3.273422e-002	9.307843e+000	2.025129e-004
2.249021240913604e-007	3.262263e-002	9.272241e+000	1.813528e-004
2.259984481828668e-007	3.250822e-002	9.235735e+000	1.622532e-004
2.270947722743733e-007	3.239099e-002	9.198327e+000	1.452143e-004
2.281910963658798e-007	3.227093e-002	9.160016e+000	1.302359e-004
2.292874204573862e-007	3.214805e-002	9.120801e+000	1.173182e-004
2.303837445488927e-007	3.202235e-002	9.080684e+000	1.064610e-004
2.314800686403991e-007	3.189382e-002	9.039664e+000	9.766444e-005
2.314802763209502e-007	3.189379e-002	9.039657e+000	1.391824e-004
2.314805086409878e-007	3.189376e-002	9.039648e+000	2.505977e-004
2.314810000000000e-007	3.189371e-002	9.039629e+000	5.942353e-004
2.317537696182601e-007	3.186142e-002	9.029286e+000	2.690926e-001
2.320265392365203e-007	3.182914e-002	9.018888e+000	5.308468e-001
2.322993088547804e-007	3.179689e-002	9.008436e+000	7.858567e-001
2.325720784730405e-007	3.176465e-002	8.997929e+000	1.034122e+000
2.328448480913006e-007	3.173243e-002	8.987367e+000	1.275644e+000
2.331176177095608e-007	3.170023e-002	8.976750e+000	1.510421e+000
2.333903873278209e-007	3.166804e-002	8.966079e+000	1.738454e+000
2.340761016135352e-007	3.158724e-002	8.939008e+000	2.280545e+000
2.347618158992496e-007	3.150623e-002	8.911596e+000	2.791909e+000
2.354475301849639e-007	3.142500e-002	8.883843e+000	3.272546e+000
2.361332444706782e-007	3.134356e-002	8.855749e+000	3.722455e+000
2.368189587563926e-007	3.126192e-002	8.827313e+000	4.141638e+000
2.375046730421069e-007	3.118006e-002	8.798536e+000	4.530094e+000
2.381903873278213e-007	3.109799e-002	8.769418e+000	4.887823e+000
2.393046730421071e-007	3.096388e-002	8.721372e+000	5.414127e+000
2.404189587563929e-007	3.082825e-002	8.672452e+000	5.896830e+000
2.415332444706787e-007	3.069111e-002	8.622659e+000	6.335931e+000
2.426475301849644e-007	3.055244e-002	8.571992e+000	6.731431e+000
2.437618158992502e-007	3.041226e-002	8.520452e+000	7.083330e+000
2.448761016135360e-007	3.027055e-002	8.468037e+000	7.391627e+000
2.459903873278218e-007	3.012733e-002	8.414749e+000	7.656323e+000
2.477332444706791e-007	2.989945e-002	8.329652e+000	8.012418e+000
2.494761016135364e-007	2.966637e-002	8.242540e+000	8.328451e+000
2.512189587563937e-007	2.942809e-002	8.153411e+000	8.604421e+000
2.529618158992509e-007	2.918462e-002	8.062267e+000	8.840327e+000
2.547046730421082e-007	2.893594e-002	7.969108e+000	9.036171e+000
2.564475301849655e-007	2.868206e-002	7.873933e+000	9.191952e+000
2.581903873278228e-007	2.842299e-002	7.776742e+000	9.307670e+000
2.613618158992516e-007	2.793638e-002	7.594642e+000	9.472959e+000
2.645332444706804e-007	2.743214e-002	7.406690e+000	9.612512e+000
2.677046730421092e-007	2.691026e-002	7.212886e+000	9.726328e+000
2.708761016135380e-007	2.637075e-002	7.013231e+000	9.814407e+000
2.740475301849668e-007	2.581360e-002	6.807724e+000	9.876750e+000
2.772189587563956e-007	2.523882e-002	6.596365e+000	9.913356e+000
2.803903873278244e-007	2.464640e-002	6.379154e+000	9.924225e+000
2.828618158992532e-007	2.417342e-002	6.206336e+000	9.939272e+000
2.853332444706820e-007	2.369145e-002	6.030638e+000	9.952246e+000
2.878046730421107e-007	2.320050e-002	5.852061e+000	9.963147e+000
2.902761016135394e-007	2.270057e-002	5.670605e+000	9.971975e+000
2.927475301849682e-007	2.219166e-002	5.486270e+000	9.978729e+000
2.952189587563970e-007	2.167377e-002	5.299055e+000	9.983411e+000
2.976903873278257e-007	2.114690e-002	5.108961e+000	9.986019e+000
2.977903873278257e-007	2.112544e-002	5.101224e+000	9.986153e+000
3.042046730421119e-007	1.970823e-002	4.591978e+000	9.990724e+000
3.106189587563981e-007	1.825650e-002	4.071758e+000	9.994392e+000
3.170332444706843e-007	1.677022e-002	3.540565e+000	9.997157e+000
3.234475301849705e-007	1.524941e-002	2.998398e+000	9.999018e+000
3.298618158992568e-007	1.369407e-002	2.445258e+000	9.999977e+000
3.362761016135429e-007	1.210419e-002	1.881145e+000	1.000003e+001
3.426903873278291e-007	1.047977e-002	1.306058e+000	9.999186e+000
3.472412523182452e-007	9.328653e-003	8.985412e-001	9.979507e+000
